ID_Registro,ID_Condominio,Nome_Condominio,Data_Mes_Referencia,Receita_Bruta_Mensal,Receita_Liquida_Mensal,Total_Unidades,Unidades_Inadimplentes,Percentual_Inadimplencia,Total_Despesas_Mensal,Fluxo_de_Caixa_Mensal
18,2417cdac-063f-4b98-8adc-d27fc5106bda,Condomínio Câmara Residence,2000-01,45033.439999999995,37730.719999999994,74,12,16.22,4592.7,33138.02
19,a8fbe1d0-e024-45bf-9dc0-ce58f01456f6,Condomínio Viana Residence,2000-01,37253.399999999994,33078.45,116,13,11.21,6330.32,26748.13
20,adcf053b-b285-4a2a-baf4-567e5e133405,Condomínio Dias Residence,2000-01,20209.5,19311.3,45,2,4.44,1923.27,17388.03
21,878f982d-a145-47e6-a668-a11e623ba01b,Condomínio Novais Residence,2000-01,108140.34000000001,91287.3,154,24,15.58,7814.2,83473.1
22,7faa7675-30c2-41fc-b0a2-0cd36c8abffa,Condomínio Ribeiro Residence,2000-01,100991.67,92244.36,127,11,8.66,6389.99,85854.37
23,e18129c5-8829-4b7b-a394-407ca6d24c88,Condomínio Machado Residence,2000-01,29654.5,25502.870000000003,50,7,14.0,1824.26,23678.61
24,a2087ae3-59ff-4a62-83fd-0d8cdab8b131,Condomínio da Luz Residence,2000-01,106045.44,93342.08,192,23,11.98,7601.44,85740.64
25,67e3b8d4-f6b5-49a7-a945-6ea8d865aa15,Condomínio Câmara Residence,2000-01,43156.52,39392.87,172,15,8.72,8592.2,30800.67
26,f893ee42-29da-4c9b-a6ad-9aa0d412ea19,Condomínio Teixeira Residence,2000-01,61326.45,51786.78,135,21,15.56,6614.78,45172.0
27,ff2d33bd-23b2-42c1-8f81-6638923db54d,Condomínio Santos Residence,2000-01,55355.55,46615.200000000004,95,15,15.79,7290.59,39324.61
28,c8f18f65-1f2d-4c85-87bd-24aafdf0c86b,Condomínio Campos Residence,2000-01,26583.829999999998,21909.75,91,16,17.58,3905.28,18004.47
29,253db626-4b43-46db-b943-95446cbccacf,Condomínio Rocha Residence,2000-01,128628.14,119233.95,178,13,7.3,13141.11,106092.84
30,1c62a233-ac32-4dcd-9453-71aee0e73760,Condomínio da Mota Residence,2000-01,90206.72,72588.22,128,25,19.53,10068.61,62519.61
31,c18fc7bc-7206-4696-b2ab-0eba9c4f8ad6,Condomínio Martins Residence,2000-01,72574.15000000001,59430.8,127,23,18.11,9908.88,49521.92
32,7fd9e383-5585-4b72-a376-046c645fbc55,Condomínio Lima Residence,2000-01,38557.799999999996,33582.6,124,16,12.9,6603.12,26979.48
33,f0b62a3b-49ea-4fd6-882b-150134824b98,Condomínio Cardoso Residence,2000-01,60391.56,52514.4,138,18,13.04,4510.99,48003.41
34,be7155e3-a916-4734-b72a-e2d43acc9d8b,Condomínio da Mata Residence,2000-01,63223.159999999996,52801.76,182,30,16.48,7201.75,45600.01
35,14060d70-6024-4716-8a1b-84f78703bf43,Condomínio Silva Residence,2000-01,32498.4,26404.95,80,15,18.75,4188.01,22216.94
36,7a21daf7-fd38-471c-a514-336ebcd8d394,Condomínio Nunes Residence,2000-01,91182.0,78089.2,195,28,14.36,8587.65,69501.55
37,da70bd4a-50ac-486b-84b1-5e9b6e3f4c39,Condomínio Barbosa Residence,2000-01,32561.550000000003,30390.780000000002,105,7,6.67,6488.76,23902.02
38,1f6e9716-2bcd-4a8f-9daf-cf5122459ffe,Condomínio Barbosa Residence,2000-01,99966.58,84803.11,178,27,15.17,8287.81,76515.3
39,dc6aaba2-39be-4d03-9f73-fa22638d7209,Condomínio Barros Residence,2000-01,90771.93000000001,78032.01000000001,171,24,14.04,10330.71,67701.3
40,226d6104-ab27-4745-a0b8-dac97ca6a4a0,Condomínio Rodrigues Residence,2000-01,47678.399999999994,40488.799999999996,126,19,15.08,7225.51,33263.29
41,4619a4f7-9aa5-40c0-b8d6-ed7f8e8304be,Condomínio Macedo Residence,2000-01,64049.79,57280.3,123,13,10.57,9209.22,48071.08
42,bcfeec42-9b78-4bbc-a1d5-118cd92facf5,Condomínio Fonseca Residence,2000-01,78695.95999999999,68658.20999999999,196,25,12.76,10589.32,58068.89
43,1a8ec54e-9b76-4768-9ee4-91184bb964d1,Condomínio Barros Residence,2000-01,24099.980000000003,19660.510000000002,38,7,18.42,1809.31,17851.2
44,2f122b81-3864-4350-a531-6d526f45f20e,Condomínio Silva Residence,2000-01,65945.48999999999,56970.659999999996,169,23,13.61,11332.07,45638.59
45,86fc046d-8195-4a8b-9cd2-8d850f101f63,Condomínio da Mata Residence,2000-01,56050.32,50087.52,94,10,10.64,3029.07,47058.45
46,cf8ad419-6ac2-40d9-b9a2-aeb20efb1836,Condomínio da Luz Residence,2000-01,86594.58,77336.04,159,17,10.69,7236.48,70099.56
47,09484f1e-1fc9-488c-9051-5c02294f520a,Condomínio Lopes Residence,2000-01,49373.97,40269.55,141,26,18.44,6207.85,34061.7
48,5b89677d-d555-419b-8d65-72b587eac14f,Condomínio Nogueira Residence,2000-01,40692.78,35668.98,81,10,12.35,6540.34,29128.64
49,d343d050-ee12-4179-8176-16bb5946afc3,Condomínio Oliveira Residence,2000-01,64359.399999999994,55165.2,140,20,14.29,6187.84,48977.36
50,fe70fdf9-c1b4-4e50-b178-362214db3064,Condomínio Dias Residence,2000-01,13959.36,12214.44,48,6,12.5,2111.84,10102.6
51,502ac7fb-6345-4dbb-9d66-1a38e090ad43,Condomínio Borges Residence,2000-02,59922.450000000004,54987.66,85,7,8.24,7746.94,47240.72
52,4b318b08-c374-4caf-b794-97f73f2d302d,Condomínio Machado Residence,2000-02,23883.719999999998,19618.77,84,15,17.86,4085.82,15532.95
53,25a3f974-4936-4e14-b233-c91f488a52e7,Condomínio Moreira Residence,2000-02,76090.05,65912.4,157,21,13.38,8766.11,57146.29
54,ca70cd5c-98e5-420b-817e-0d9154f63967,Condomínio Fonseca Residence,2000-02,43892.28,41582.159999999996,76,4,5.26,6366.26,35215.9
55,7723aa4e-80bd-47f9-9f94-85a58682bcfa,Condomínio Gomes Residence,2000-02,64335.46,55320.299999999996,157,22,14.01,9773.39,45546.91
56,0567bae3-1cdc-430c-be11-50e095cb9432,Condomínio Siqueira Residence,2000-02,84990.09999999999,77949.5,169,14,8.28,10447.73,67501.77
57,83428d4e-6dc2-4efc-b4d7-143589f87946,Condomínio Freitas Residence,2000-02,142811.46,120452.09,198,31,15.66,12973.44,107478.65
58,8202ccf4-a9d7-4275-b005-8c1f59996c30,Condomínio Fogaça Residence,2000-02,49693.0,44226.770000000004,100,11,11.0,6927.74,37299.03
59,d3447539-8dbf-4bc5-8d9b-46012374ae1c,Condomínio Casa Grande Residence,2000-02,100866.98999999999,91946.78,147,13,8.84,9707.36,82239.42
60,a6351593-4a2a-4d70-9384-39029662dcc9,Condomínio da Rosa Residence,2000-02,28648.32,26649.6,43,3,6.98,2438.58,24211.02
61,837a214a-f24e-46f2-856f-9331ff876072,Condomínio Ferreira Residence,2000-02,45965.15,38204.8,77,13,16.88,6816.36,31388.44
62,6e726857-07dc-453a-a8fc-4ab9031612b1,Condomínio Aragão Residence,2000-02,91412.09999999999,78755.04,130,18,13.85,7794.83,70960.21
63,7ae0abaf-2a80-449f-b116-d0f5462a1057,Condomínio Correia Residence,2000-02,97067.52,84934.08,192,24,12.5,8187.24,76746.84
64,3eef32ed-3c5b-4b2e-beef-5c36e7b4da8c,Condomínio Silva Residence,2000-02,57145.64,53307.5,134,9,6.72,7421.69,45885.81
65,d7450181-3b8b-4d1d-9200-84a710e44b85,Condomínio Fogaça Residence,2000-02,35397.0,29548.800000000003,115,19,16.52,4936.46,24612.34
66,00addb44-8580-4116-a730-48ce88deb856,Condomínio Silveira Residence,2000-02,34025.12,31678.559999999998,116,8,6.9,5279.83,26398.73
67,8c304bf1-67fc-4c63-b8ca-60329d25df09,Condomínio Rezende Residence,2000-02,67136.08,56919.72,184,28,15.22,8377.64,48542.08
68,2417cdac-063f-4b98-8adc-d27fc5106bda,Condomínio Câmara Residence,2000-02,45033.439999999995,41382.079999999994,74,6,8.11,5625.98,35756.1
69,a8fbe1d0-e024-45bf-9dc0-ce58f01456f6,Condomínio Viana Residence,2000-02,37253.399999999994,34041.899999999994,116,10,8.62,5016.09,29025.81
70,adcf053b-b285-4a2a-baf4-567e5e133405,Condomínio Dias Residence,2000-02,20209.5,17065.8,45,7,15.56,1973.18,15092.62
71,878f982d-a145-47e6-a668-a11e623ba01b,Condomínio Novais Residence,2000-02,108140.34000000001,93393.93000000001,154,21,13.64,9376.17,84017.76
72,7faa7675-30c2-41fc-b0a2-0cd36c8abffa,Condomínio Ribeiro Residence,2000-02,100991.67,93834.78,127,9,7.09,11820.34,82014.44
73,e18129c5-8829-4b7b-a394-407ca6d24c88,Condomínio Machado Residence,2000-02,29654.5,26095.960000000003,50,6,12.0,2176.67,23919.29
74,a2087ae3-59ff-4a62-83fd-0d8cdab8b131,Condomínio da Luz Residence,2000-02,106045.44,89475.84000000001,192,30,15.62,12703.68,76772.16
75,67e3b8d4-f6b5-49a7-a945-6ea8d865aa15,Condomínio Câmara Residence,2000-02,43156.52,35378.31,172,31,18.02,9464.59,25913.72
76,f893ee42-29da-4c9b-a6ad-9aa0d412ea19,Condomínio Teixeira Residence,2000-02,61326.45,54058.13,135,16,11.85,6212.11,47846.02
77,ff2d33bd-23b2-42c1-8f81-6638923db54d,Condomínio Santos Residence,2000-02,55355.55,47197.89000000001,95,14,14.74,3384.97,43812.92
78,c8f18f65-1f2d-4c85-87bd-24aafdf0c86b,Condomínio Campos Residence,2000-02,26583.829999999998,24246.79,91,8,8.79,4203.64,20043.15
79,253db626-4b43-46db-b943-95446cbccacf,Condomínio Rocha Residence,2000-02,128628.14,114175.54,178,20,11.24,15560.92,98614.62
80,1c62a233-ac32-4dcd-9453-71aee0e73760,Condomínio da Mota Residence,2000-02,90206.72,83864.06,128,9,7.03,6837.73,77026.33
81,c18fc7bc-7206-4696-b2ab-0eba9c4f8ad6,Condomínio Martins Residence,2000-02,72574.15000000001,62859.50000000001,127,17,13.39,6589.87,56269.63
82,7fd9e383-5585-4b72-a376-046c645fbc55,Condomínio Lima Residence,2000-02,38557.799999999996,31095.0,124,24,19.35,7657.03,23437.97
83,f0b62a3b-49ea-4fd6-882b-150134824b98,Condomínio Cardoso Residence,2000-02,60391.56,48575.82,138,27,19.57,9364.24,39211.58
84,be7155e3-a916-4734-b72a-e2d43acc9d8b,Condomínio da Mata Residence,2000-02,63223.159999999996,52801.76,182,30,16.48,9126.02,43675.74
85,14060d70-6024-4716-8a1b-84f78703bf43,Condomínio Silva Residence,2000-02,32498.4,27623.64,80,12,15.0,4545.66,23077.98
86,7a21daf7-fd38-471c-a514-336ebcd8d394,Condomínio Nunes Residence,2000-02,91182.0,85103.2,195,13,6.67,15192.53,69910.67
87,da70bd4a-50ac-486b-84b1-5e9b6e3f4c39,Condomínio Barbosa Residence,2000-02,32561.550000000003,30390.780000000002,105,7,6.67,5127.35,25263.43
88,1f6e9716-2bcd-4a8f-9daf-cf5122459ffe,Condomínio Barbosa Residence,2000-02,99966.58,94912.09,178,9,5.06,7462.65,87449.44
89,dc6aaba2-39be-4d03-9f73-fa22638d7209,Condomínio Barros Residence,2000-02,90771.93000000001,73254.54000000001,171,33,19.3,9427.63,63826.91
90,226d6104-ab27-4745-a0b8-dac97ca6a4a0,Condomínio Rodrigues Residence,2000-02,47678.399999999994,39732.0,126,21,16.67,8106.93,31625.07
91,4619a4f7-9aa5-40c0-b8d6-ed7f8e8304be,Condomínio Macedo Residence,2000-02,64049.79,52593.73,123,22,17.89,7304.2,45289.53
92,bcfeec42-9b78-4bbc-a1d5-118cd92facf5,Condomínio Fonseca Residence,2000-02,78695.95999999999,73877.84,196,12,6.12,8685.4,65192.44
93,1a8ec54e-9b76-4768-9ee4-91184bb964d1,Condomínio Barros Residence,2000-02,24099.980000000003,19660.510000000002,38,7,18.42,3002.85,16657.66
94,2f122b81-3864-4350-a531-6d526f45f20e,Condomínio Silva Residence,2000-02,65945.48999999999,58921.71,169,18,10.65,6938.46,51983.25
95,86fc046d-8195-4a8b-9cd2-8d850f101f63,Condomínio da Mata Residence,2000-02,56050.32,52472.64,94,6,6.38,5427.08,47045.56
96,cf8ad419-6ac2-40d9-b9a2-aeb20efb1836,Condomínio da Luz Residence,2000-02,86594.58,78969.9,159,14,8.81,5263.03,73706.87
97,09484f1e-1fc9-488c-9051-5c02294f520a,Condomínio Lopes Residence,2000-02,49373.97,41670.23,141,22,15.6,6765.17,34905.06
98,5b89677d-d555-419b-8d65-72b587eac14f,Condomínio Nogueira Residence,2000-02,40692.78,37678.5,81,6,7.41,6556.42,31122.08
99,d343d050-ee12-4179-8176-16bb5946afc3,Condomínio Oliveira Residence,2000-02,64359.399999999994,56084.619999999995,140,18,12.86,9984.22,46100.4
100,fe70fdf9-c1b4-4e50-b178-362214db3064,Condomínio Dias Residence,2000-02,13959.36,11341.98,48,9,18.75,2638.2,8703.78
101,502ac7fb-6345-4dbb-9d66-1a38e090ad43,Condomínio Borges Residence,2000-03,59922.450000000004,52872.75,85,10,11.76,7622.34,45250.41
102,4b318b08-c374-4caf-b794-97f73f2d302d,Condomínio Machado Residence,2000-03,23883.719999999998,20756.09,84,11,13.1,4379.17,16376.92
103,25a3f974-4936-4e14-b233-c91f488a52e7,Condomínio Moreira Residence,2000-03,76090.05,67851.0,157,17,10.83,8800.1,59050.9
104,ca70cd5c-98e5-420b-817e-0d9154f63967,Condomínio Fonseca Residence,2000-03,43892.28,35806.86,76,14,18.42,2981.11,32825.75
105,7723aa4e-80bd-47f9-9f94-85a58682bcfa,Condomínio Gomes Residence,2000-03,64335.46,54090.96,157,25,15.92,8178.13,45912.83
106,0567bae3-1cdc-430c-be11-50e095cb9432,Condomínio Siqueira Residence,2000-03,84990.09999999999,71914.7,169,26,15.38,12597.6,59317.1
107,83428d4e-6dc2-4efc-b4d7-143589f87946,Condomínio Freitas Residence,2000-03,142811.46,131271.13999999998,198,16,8.08,16052.41,115218.73
108,8202ccf4-a9d7-4275-b005-8c1f59996c30,Condomínio Fogaça Residence,2000-03,49693.0,40251.33,100,19,19.0,4747.05,35504.28
109,d3447539-8dbf-4bc5-8d9b-46012374ae1c,Condomínio Casa Grande Residence,2000-03,100866.98999999999,88515.93,147,18,12.24,9140.61,79375.32
110,a6351593-4a2a-4d70-9384-39029662dcc9,Condomínio da Rosa Residence,2000-03,28648.32,25317.12,43,5,11.63,2755.68,22561.44
111,837a214a-f24e-46f2-856f-9331ff876072,Condomínio Ferreira Residence,2000-03,45965.15,39398.700000000004,77,11,14.29,4861.73,34536.97
112,6e726857-07dc-453a-a8fc-4ab9031612b1,Condomínio Aragão Residence,2000-03,91412.09999999999,78755.04,130,18,13.85,11843.82,66911.22
113,7ae0abaf-2a80-449f-b116-d0f5462a1057,Condomínio Correia Residence,2000-03,97067.52,89989.68000000001,192,14,7.29,12554.11,77435.57
114,3eef32ed-3c5b-4b2e-beef-5c36e7b4da8c,Condomínio Silva Residence,2000-03,57145.64,50748.74,134,15,11.19,9622.81,41125.93
115,d7450181-3b8b-4d1d-9200-84a710e44b85,Condomínio Fogaça Residence,2000-03,35397.0,28933.2,115,21,18.26,4524.02,24409.18
116,00addb44-8580-4116-a730-48ce88deb856,Condomínio Silveira Residence,2000-03,34025.12,30505.28,116,12,10.34,4333.04,26172.24
117,8c304bf1-67fc-4c63-b8ca-60329d25df09,Condomínio Rezende Residence,2000-03,67136.08,57649.46,184,26,14.13,12114.12,45535.34
118,2417cdac-063f-4b98-8adc-d27fc5106bda,Condomínio Câmara Residence,2000-03,45033.439999999995,40164.96,74,8,10.81,5670.61,34494.35
119,a8fbe1d0-e024-45bf-9dc0-ce58f01456f6,Condomínio Viana Residence,2000-03,37253.399999999994,32757.3,116,14,12.07,6048.69,26708.61
120,adcf053b-b285-4a2a-baf4-567e5e133405,Condomínio Dias Residence,2000-03,20209.5,17065.8,45,7,15.56,2011.61,15054.19
121,878f982d-a145-47e6-a668-a11e623ba01b,Condomínio Novais Residence,2000-03,108140.34000000001,93393.93000000001,154,21,13.64,11428.83,81965.1
122,7faa7675-30c2-41fc-b0a2-0cd36c8abffa,Condomínio Ribeiro Residence,2000-03,100991.67,88268.31,127,16,12.6,8277.14,79991.17
123,e18129c5-8829-4b7b-a394-407ca6d24c88,Condomínio Machado Residence,2000-03,29654.5,23723.600000000002,50,10,20.0,4435.5,19288.1
124,a2087ae3-59ff-4a62-83fd-0d8cdab8b131,Condomínio da Luz Residence,2000-03,106045.44,97208.32,192,16,8.33,8079.51,89128.81
125,67e3b8d4-f6b5-49a7-a945-6ea8d865aa15,Condomínio Câmara Residence,2000-03,43156.52,35378.31,172,31,18.02,6085.57,29292.74
126,f893ee42-29da-4c9b-a6ad-9aa0d412ea19,Condomínio Teixeira Residence,2000-03,61326.45,56329.479999999996,135,11,8.15,8417.2,47912.28
127,ff2d33bd-23b2-42c1-8f81-6638923db54d,Condomínio Santos Residence,2000-03,55355.55,47780.58,95,13,13.68,5144.68,42635.9
128,c8f18f65-1f2d-4c85-87bd-24aafdf0c86b,Condomínio Campos Residence,2000-03,26583.829999999998,24831.05,91,6,6.59,3940.73,20890.32
129,253db626-4b43-46db-b943-95446cbccacf,Condomínio Rocha Residence,2000-03,128628.14,120679.21,178,11,6.18,7212.18,113467.03
130,1c62a233-ac32-4dcd-9453-71aee0e73760,Condomínio da Mota Residence,2000-03,90206.72,75407.18000000001,128,21,16.41,12379.27,63027.91
131,c18fc7bc-7206-4696-b2ab-0eba9c4f8ad6,Condomínio Martins Residence,2000-03,72574.15000000001,62859.50000000001,127,17,13.39,9477.55,53381.95
132,7fd9e383-5585-4b72-a376-046c645fbc55,Condomínio Lima Residence,2000-03,38557.799999999996,33582.6,124,16,12.9,4377.68,29204.92
133,f0b62a3b-49ea-4fd6-882b-150134824b98,Condomínio Cardoso Residence,2000-03,60391.56,56015.36,138,10,7.25,7636.61,48378.75
134,be7155e3-a916-4734-b72a-e2d43acc9d8b,Condomínio da Mata Residence,2000-03,63223.159999999996,51412.24,182,34,18.68,9912.26,41499.98
135,14060d70-6024-4716-8a1b-84f78703bf43,Condomínio Silva Residence,2000-03,32498.4,28436.100000000002,80,10,12.5,4633.48,23802.62
136,7a21daf7-fd38-471c-a514-336ebcd8d394,Condomínio Nunes Residence,2000-03,91182.0,74816.0,195,35,17.95,14179.36,60636.64
137,da70bd4a-50ac-486b-84b1-5e9b6e3f4c39,Condomínio Barbosa Residence,2000-03,32561.550000000003,29460.45,105,10,9.52,5321.81,24138.64
138,1f6e9716-2bcd-4a8f-9daf-cf5122459ffe,Condomínio Barbosa Residence,2000-03,99966.58,94912.09,178,9,5.06,7186.58,87725.51
139,dc6aaba2-39be-4d03-9f73-fa22638d7209,Condomínio Barros Residence,2000-03,90771.93000000001,79093.67000000001,171,22,12.87,11157.49,67936.18
140,226d6104-ab27-4745-a0b8-dac97ca6a4a0,Condomínio Rodrigues Residence,2000-03,47678.399999999994,42380.799999999996,126,14,11.11,4425.48,37955.32
141,4619a4f7-9aa5-40c0-b8d6-ed7f8e8304be,Condomínio Macedo Residence,2000-03,64049.79,53635.19,123,20,16.26,4763.28,48871.91
142,bcfeec42-9b78-4bbc-a1d5-118cd92facf5,Condomínio Fonseca Residence,2000-03,78695.95999999999,63438.58,196,38,19.39,13488.31,49950.27
143,1a8ec54e-9b76-4768-9ee4-91184bb964d1,Condomínio Barros Residence,2000-03,24099.980000000003,21563.14,38,4,10.53,2611.94,18951.2
144,2f122b81-3864-4350-a531-6d526f45f20e,Condomínio Silva Residence,2000-03,65945.48999999999,54629.399999999994,169,29,17.16,7248.0,47381.4
145,86fc046d-8195-4a8b-9cd2-8d850f101f63,Condomínio da Mata Residence,2000-03,56050.32,50683.799999999996,94,9,9.57,5167.14,45516.66
146,cf8ad419-6ac2-40d9-b9a2-aeb20efb1836,Condomínio da Luz Residence,2000-03,86594.58,73523.7,159,24,15.09,7132.57,66391.13
147,09484f1e-1fc9-488c-9051-5c02294f520a,Condomínio Lopes Residence,2000-03,49373.97,42720.740000000005,141,19,13.48,4646.88,38073.86
148,5b89677d-d555-419b-8d65-72b587eac14f,Condomínio Nogueira Residence,2000-03,40692.78,36673.74,81,8,9.88,4398.85,32274.89
149,d343d050-ee12-4179-8176-16bb5946afc3,Condomínio Oliveira Residence,2000-03,64359.399999999994,53786.07,140,23,16.43,6702.59,47083.48
150,fe70fdf9-c1b4-4e50-b178-362214db3064,Condomínio Dias Residence,2000-03,13959.36,11923.619999999999,48,7,14.58,2603.32,9320.3
151,502ac7fb-6345-4dbb-9d66-1a38e090ad43,Condomínio Borges Residence,2000-04,59922.450000000004,49347.9,85,15,17.65,7150.08,42197.82
152,4b318b08-c374-4caf-b794-97f73f2d302d,Condomínio Machado Residence,2000-04,23883.719999999998,21324.75,84,9,10.71,4907.92,16416.83
153,25a3f974-4936-4e14-b233-c91f488a52e7,Condomínio Moreira Residence,2000-04,76090.05,72212.84999999999,157,8,5.1,10163.78,62049.07
154,ca70cd5c-98e5-420b-817e-0d9154f63967,Condomínio Fonseca Residence,2000-04,43892.28,37539.45,76,11,14.47,4936.7,32602.75
155,7723aa4e-80bd-47f9-9f94-85a58682bcfa,Condomínio Gomes Residence,2000-04,64335.46,55320.299999999996,157,22,14.01,11035.96,44284.34
156,0567bae3-1cdc-430c-be11-50e095cb9432,Condomínio Siqueira Residence,2000-04,84990.09999999999,68897.3,169,32,18.93,12783.47,56113.83
157,83428d4e-6dc2-4efc-b4d7-143589f87946,Condomínio Freitas Residence,2000-04,142811.46,131992.41,198,15,7.58,18329.36,113663.05
158,8202ccf4-a9d7-4275-b005-8c1f59996c30,Condomínio Fogaça Residence,2000-04,49693.0,45220.63,100,9,9.0,4229.84,40990.79
159,d3447539-8dbf-4bc5-8d9b-46012374ae1c,Condomínio Casa Grande Residence,2000-04,100866.98999999999,91260.61,147,14,9.52,4902.17,86358.44
160,a6351593-4a2a-4d70-9384-39029662dcc9,Condomínio da Rosa Residence,2000-04,28648.32,23318.4,43,8,18.6,1609.53,21708.87
161,837a214a-f24e-46f2-856f-9331ff876072,Condomínio Ferreira Residence,2000-04,45965.15,37010.9,77,15,19.48,3002.82,34008.08
162,6e726857-07dc-453a-a8fc-4ab9031612b1,Condomínio Aragão Residence,2000-04,91412.09999999999,78755.04,130,18,13.85,10563.33,68191.71
163,7ae0abaf-2a80-449f-b116-d0f5462a1057,Condomínio Correia Residence,2000-04,97067.52,92011.92,192,10,5.21,13581.74,78430.18
164,3eef32ed-3c5b-4b2e-beef-5c36e7b4da8c,Condomínio Silva Residence,2000-04,57145.64,47337.06,134,23,17.16,9460.56,37876.5
165,d7450181-3b8b-4d1d-9200-84a710e44b85,Condomínio Fogaça Residence,2000-04,35397.0,30780.0,115,15,13.04,4891.1,25888.9
166,00addb44-8580-4116-a730-48ce88deb856,Condomínio Silveira Residence,2000-04,34025.12,31091.92,116,10,8.62,5544.56,25547.36
167,8c304bf1-67fc-4c63-b8ca-60329d25df09,Condomínio Rezende Residence,2000-04,67136.08,56554.85,184,29,15.76,7157.89,49396.96
168,2417cdac-063f-4b98-8adc-d27fc5106bda,Condomínio Câmara Residence,2000-04,45033.439999999995,40773.52,74,7,9.46,3979.33,36794.19
169,a8fbe1d0-e024-45bf-9dc0-ce58f01456f6,Condomínio Viana Residence,2000-04,37253.399999999994,29866.949999999997,116,23,19.83,6881.53,22985.42
170,adcf053b-b285-4a2a-baf4-567e5e133405,Condomínio Dias Residence,2000-04,20209.5,17964.0,45,5,11.11,3329.88,14634.12
171,878f982d-a145-47e6-a668-a11e623ba01b,Condomínio Novais Residence,2000-04,108140.34000000001,90585.09000000001,154,25,16.23,11788.48,78796.61
172,7faa7675-30c2-41fc-b0a2-0cd36c8abffa,Condomínio Ribeiro Residence,2000-04,100991.67,95425.20000000001,127,7,5.51,12288.37,83136.83
173,e18129c5-8829-4b7b-a394-407ca6d24c88,Condomínio Machado Residence,2000-04,29654.5,24316.690000000002,50,9,18.0,1765.77,22550.92
174,a2087ae3-59ff-4a62-83fd-0d8cdab8b131,Condomínio da Luz Residence,2000-04,106045.44,96103.68000000001,192,18,9.38,14532.71,81570.97
175,67e3b8d4-f6b5-49a7-a945-6ea8d865aa15,Condomínio Câmara Residence,2000-04,43156.52,36883.77,172,25,14.53,6616.08,30267.69
176,f893ee42-29da-4c9b-a6ad-9aa0d412ea19,Condomínio Teixeira Residence,2000-04,61326.45,50878.24,135,23,17.04,4999.22,45879.02
177,ff2d33bd-23b2-42c1-8f81-6638923db54d,Condomínio Santos Residence,2000-04,55355.55,48363.270000000004,95,12,12.63,4129.28,44233.99
178,c8f18f65-1f2d-4c85-87bd-24aafdf0c86b,Condomínio Campos Residence,2000-04,26583.829999999998,24246.79,91,8,8.79,4767.05,19479.74
179,253db626-4b43-46db-b943-95446cbccacf,Condomínio Rocha Residence,2000-04,128628.14,120679.21,178,11,6.18,8858.89,111820.32
